,x,v,a,u,t
81,-4128.6562,-193999.98,-38999996.0,2137.0,0.08100988890245392
82,-4323.6562,-194999.98,-999999.9,2137.0,0.0820100109876694
83,-4463.6562,-140000.0,54999990.0,2137.0,0.08301013307288488
84,-4569.6562,-105999.99,33999996.0,2137.0,0.08401025515810036
85,-4608.6562,-39000.0,66999990.0,2137.0,0.08501037724331584
86,-4606.6562,1999.9999,40999996.0,2137.0,0.08601049932853132
87,-4561.6562,44999.996,42999996.0,2137.0,0.0870106214137468
88,-4531.6562,29999.998,-14999998.0,2137.0,0.08801074349896229
89,-4485.6562,45999.996,15999998.0,2137.0,0.08901086558417777
90,-4455.6562,29999.998,-15999998.0,2137.0,0.09001098766939325
91,-4406.6562,48999.996,18999998.0,2137.0,0.09101110975460873
92,-4304.6562,101999.99,52999996.0,2137.0,0.09201123183982421
93,-4164.6562,140000.0,37999996.0,2137.0,0.09301135392503969
94,-3952.6562,211999.98,71999990.0,2137.0,0.09401147601025517
95,-3718.6562,233999.98,21999998.0,2137.0,0.09501159809547065
96,-3460.6562,257999.98,23999998.0,2137.0,0.09601172018068613
97,-3192.6562,268000.0,9999999.0,2137.0,0.09701184226590161
98,-2956.6562,235999.98,-31999996.0,2137.0,0.09801196435111709
99,-2739.6562,216999.98,-18999998.0,2137.0,0.09901208643633257
100,-2506.6562,232999.98,15999998.0,2137.0,0.10001220852154805
101,-2222.6562,284000.0,50999996.0,2137.0,0.10101233060676353
102,-1856.6562,365999.97,81999990.0,2137.0,0.102012452691979
103,-1416.6562,439999.97,73999990.0,2137.0,0.10301257477719448
104,-957.65625,458999.97,18999998.0,2137.0,0.10401269686240996
105,-507.65625,449999.97,-8999999.0,2137.0,0.10501281894762546
106,-139.65625,367999.97,-81999990.0,2137.0,0.10601294103284094
107,124.34375,264000.0,-103999990.0,2137.0,0.10701306311805642
108,359.34375,234999.98,-28999996.0,2137.0,0.1080131852032719
109,586.34375,226999.98,-7999999.0,2137.0,0.10901330728848738
110,838.34375,251999.98,24999998.0,2137.0,0.11001342937370286
111,1165.3438,327000.0,74999990.0,2137.0,0.11101355145891834
112,1550.3438,384999.97,57999990.0,2137.0,0.11201367354413382
113,1914.3438,363999.97,-20999998.0,2137.0,0.1130137956293493
114,2264.3438,349999.97,-13999998.0,2137.0,0.11401391771456477
115,2490.3438,225999.98,-123999980.0,2137.0,0.11501403979978025
116,2655.3438,164999.98,-60999990.0,2137.0,0.11601416188499573
117,2765.3438,109999.99,-54999990.0,2137.0,0.11701428397021121
118,2842.3438,77000.0,-32999996.0,2137.0,0.1180144060554267
119,2968.3438,125999.99,48999996.0,2137.0,0.11901452814064217
120,3118.3438,150000.0,23999998.0,2137.0,0.12001465022585767
121,3312.3438,193999.98,43999996.0,2137.0,0.12101477231107315
122,3503.3438,190999.98,-2999999.8,2137.0,0.12201489439628863
123,3669.3438,165999.98,-24999998.0,2137.0,0.1230150164815041
124,3754.3438,84999.99,-80999990.0,2137.0,0.12401513856671958
125,3797.3438,42999.996,-41999996.0,2137.0,0.12501526065193505
126,3768.3438,-28999.998,-71999990.0,2137.0,0.12601538273715054
127,3751.3438,-17000.0,11999999.0,2137.0,0.127015504822366
128,3757.3438,5999.9995,22999998.0,2137.0,0.1280156269075815
129,3782.3438,24999.998,18999998.0,2137.0,0.129015748992797
130,3832.3438,49999.996,24999998.0,2137.0,0.13001587107801246
131,3818.3438,-13999.999,-63999990.0,2137.0,0.13101599316322796
132,3813.3438,-5000.0,8999999.0,2137.0,0.13201611524844342
133,3723.3438,-89999.99,-84999990.0,2137.0,0.13301623733365892
134,3577.3438,-146000.0,-55999990.0,2137.0,0.13401635941887438
135,3382.3438,-194999.98,-48999996.0,2137.0,0.13501648150408987
136,3179.3438,-202999.98,-7999999.0,2137.0,0.13601660358930534
137,3017.3438,-162000.0,40999996.0,2137.0,0.13701672567452083
138,2855.3438,-162000.0,0.0,2137.0,0.1380168477597363
139,2711.3438,-144000.0,17999998.0,2137.0,0.1390169698449518
140,2552.3438,-159000.0,-14999998.0,2137.0,0.14001709193016726
141,2321.3438,-230999.98,-71999990.0,2137.0,0.14101721401538275
142,1999.3438,-322000.0,-90999990.0,2137.0,0.14201733610059822
143,1634.3438,-364999.97,-42999996.0,2137.0,0.1430174581858137
144,1212.3438,-421999.97,-56999990.0,2137.0,0.14401758027102918
145,803.34375,-408999.97,12999999.0,2137.0,0.14501770235624467
146,485.34375,-318000.0,90999990.0,2137.0,0.14601782444146016
147,235.34375,-249999.98,67999990.0,2137.0,0.14701794652667563
148,21.34375,-213999.98,35999996.0,2137.0,0.14801806861189112
149,-227.65625,-248999.98,-34999996.0,2137.0,0.1490181906971066
150,-568.65625,-340999.97,-91999990.0,2137.0,0.15001831278232208
151,-1020.65625,-451999.97,-110999980.0,2137.0,0.15101843486753755
152,-1547.6562,-527000.0,-74999990.0,2137.0,0.15201855695275304
153,-2074.6562,-527000.0,0.0,2137.0,0.1530186790379685
154,-2516.6562,-441999.97,84999990.0,2137.0,0.154018801123184
155,-2852.6562,-335999.97,105999990.0,2137.0,0.15501892320839947
156,-3082.6562,-229999.98,105999990.0,2137.0,0.15601904529361496
157,-3257.6562,-174999.98,54999990.0,2137.0,0.15701916737883043
158,-3439.6562,-181999.98,-6999999.0,2137.0,0.15801928946404592
159,-3650.6562,-210999.98,-28999996.0,2137.0,0.15901941154926139
160,-3927.6562,-277000.0,-65999990.0,2137.0,0.16001953363447688
161,-4245.6562,-318000.0,-40999996.0,2137.0,0.16101965571969237
162,-4529.6562,-284000.0,33999996.0,2137.0,0.16201977780490784
163,-4747.6562,-217999.98,65999990.0,2137.0,0.16301989989012333
164,-4848.6562,-100999.99,116999980.0,2137.0,0.1640200219753388
165,-4835.6562,12999.999,113999980.0,2137.0,0.1650201440605543
166,-4799.6562,36000.0,22999998.0,2137.0,0.16602026614576976
167,-4737.6562,61999.996,25999998.0,2137.0,0.16702038823098525
168,-4712.6562,24999.998,-36999996.0,2137.0,0.16802051031620072
169,-4740.6562,-27999.998,-52999996.0,2137.0,0.1690206324014162
170,-4778.6562,-38000.0,-9999999.0,2137.0,0.17002075448663168
171,-4774.6562,3999.9998,41999996.0,2137.0,0.17102087657184717
172,-4694.6562,80000.0,75999990.0,2137.0,0.17202099865706263
173,-4532.6562,162000.0,81999990.0,2137.0,0.17302112074227813
174,-4291.6562,240999.98,78999990.0,2137.0,0.1740212428274936
175,-3997.6562,294000.0,52999996.0,2137.0,0.1750213649127091
176,-3735.6562,261999.98,-31999996.0,2137.0,0.17602148699792458
177,-3478.6562,256999.98,-4999999.5,2137.0,0.17702160908314005
178,-3299.6562,178999.98,-77999990.0,2137.0,0.17802173116835554
179,-3124.6562,174999.98,-3999999.5,2137.0,0.179021853253571
180,-2926.6562,197999.98,22999998.0,2137.0,0.1800219753387865
181,-2661.6562,265000.0,66999990.0,2137.0,0.18102209742400197
182,-2294.6562,366999.97,101999990.0,2137.0,0.18202221950921746
183,-1867.6562,426999.97,59999990.0,2137.0,0.18302234159443292
184,-1414.6562,452999.97,25999998.0,2137.0,0.18402246367964842
185,-1011.65625,402999.97,-49999996.0,2137.0,0.18502258576486388
186,-679.65625,331999.97,-70999990.0,2137.0,0.18602270785007938
187,-421.65625,257999.98,-73999990.0,2137.0,0.18702282993529484
188,-169.65625,251999.98,-5999999.5,2137.0,0.18802295202051034
189,81.34375,250999.98,-999999.9,2137.0,0.1890230741057258
190,386.34375,305000.0,53999990.0,2137.0,0.1900231961909413
191,760.34375,373999.97,68999990.0,2137.0,0.19102331827615676
192,1189.3438,428999.97,54999990.0,2137.0,0.19202344036137226
193,1572.3438,382999.97,-45999996.0,2137.0,0.19302356244658775
194,1947.3438,374999.97,-7999999.0,2137.0,0.19402368453180321
195,2233.3438,286000.0,-88999990.0,2137.0,0.1950238066170187
196,2490.3438,256999.98,-28999996.0,2137.0,0.19602392870223417
197,2656.3438,165999.98,-90999990.0,2137.0,0.19702405078744967
198,2842.3438,185999.98,19999998.0,2137.0,0.19802417287266513
199,3013.3438,170999.98,-14999998.0,2137.0,0.19902429495788063
200,3228.3438,214999.98,43999996.0,2137.0,0.2000244170430961
201,3429.3438,200999.98,-13999998.0,2137.0,0.20102453912831159
202,3635.3438,205999.98,4999999.5,2137.0,0.20202466121352705
203,3819.3438,183999.98,-21999998.0,2137.0,0.20302478329874254
204,3958.3438,139000.0,-44999996.0,2137.0,0.204024905383958
205,4040.3438,82000.0,-56999990.0,2137.0,0.2050250274691735
206,4092.3438,51999.996,-29999996.0,2137.0,0.20602514955438897
207,4120.3438,27999.998,-23999998.0,2137.0,0.20702527163960446
208,4151.3438,30999.998,2999999.8,2137.0,0.20802539372481993
209,4195.3438,43999.996,12999999.0,2137.0,0.20902551581003542
210,4225.3438,29999.998,-13999998.0,2137.0,0.21002563789525092
211,4239.3438,13999.999,-15999998.0,2137.0,0.21102575998046638
212,4209.3438,-29999.998,-43999996.0,2137.0,0.21202588206568188
213,4132.3438,-77000.0,-46999996.0,2137.0,0.21302600415089734
214,4011.3438,-120999.99,-43999996.0,2137.0,0.21402612623611283
215,3874.3438,-137000.0,-15999998.0,2137.0,0.2150262483213283
216,3679.3438,-194999.98,-57999990.0,2137.0,0.2160263704065438
217,3547.3438,-132000.0,62999990.0,2137.0,0.21702649249175926
218,3351.3438,-195999.98,-63999990.0,2137.0,0.21802661457697475
219,3182.3438,-168999.98,26999996.0,2137.0,0.21902673666219022
220,3008.3438,-173999.98,-4999999.5,2137.0,0.2200268587474057
221,2781.3438,-226999.98,-52999996.0,2137.0,0.22102698083262118
222,2493.3438,-288000.0,-60999990.0,2137.0,0.22202710291783667
223,2148.3438,-344999.97,-56999990.0,2137.0,0.22302722500305214
224,1793.3438,-354999.97,-9999999.0,2137.0,0.22402734708826763
225,1430.3438,-362999.97,-7999999.0,2137.0,0.22502746917348312
226,1073.3438,-356999.97,5999999.5,2137.0,0.2260275912586986
227,716.34375,-356999.97,0.0,2137.0,0.22702771334391408
228,366.34375,-349999.97,6999999.0,2137.0,0.22802783542912955
229,-5.65625,-371999.97,-21999998.0,2137.0,0.22902795751434504
230,-407.65625,-401999.97,-29999996.0,2137.0,0.2300280795995605
231,-897.65625,-489999.97,-87999990.0,2137.0,0.231028201684776
232,-1371.6562,-473999.97,15999998.0,2137.0,0.23202832376999147
233,-1867.6562,-495999.97,-21999998.0,2137.0,0.23302844585520696
234,-2351.6562,-483999.97,11999999.0,2137.0,0.23402856794042243
235,-2776.6562,-424999.97,58999990.0,2137.0,0.23502869002563792
236,-3159.6562,-382999.97,41999996.0,2137.0,0.2360288121108534
237,-3502.6562,-342999.97,39999996.0,2137.0,0.23702893419606888
238,-3839.6562,-336999.97,5999999.5,2137.0,0.23802905628128435
239,-4152.6562,-313000.0,23999998.0,2137.0,0.23902917836649984
240,-4474.6562,-322000.0,-8999999.0,2137.0,0.24002930045171533
241,-4793.6562,-319000.0,2999999.8,2137.0,0.2410294225369308
242,-5098.6562,-305000.0,13999998.0,2137.0,0.2420295446221463
243,-5380.6562,-282000.0,22999998.0,2137.0,0.24302966670736176
244,-5622.6562,-241999.98,39999996.0,2137.0,0.24402978879257725
245,-5777.6562,-155000.0,86999990.0,2137.0,0.24502991087779272
246,-5896.6562,-118999.99,35999996.0,2137.0,0.2460300329630082
247,-5966.6562,-70000.0,48999996.0,2137.0,0.24703015504822368
248,-5990.6562,-23999.998,45999996.0,2137.0,0.24803027713343917
249,-6018.6562,-27999.998,-3999999.5,2137.0,0.24903039921865464
250,-5999.6562,19000.0,46999996.0,2137.0,0.2500305213038701
251,-5972.6562,26999.998,7999999.0,2137.0,0.2510306433890856
252,-5883.6562,88999.99,61999990.0,2137.0,0.2520307654743011
253,-5753.6562,129999.99,40999996.0,2137.0,0.2530308875595166
254,-5549.6562,203999.98,73999990.0,2137.0,0.254031009644732
255,-5292.6562,256999.98,52999996.0,2137.0,0.2550311317299475
256,-4987.6562,305000.0,47999996.0,2137.0,0.256031253815163
257,-4675.6562,312000.0,6999999.0,2137.0,0.2570313759003785
258,-4350.6562,325000.0,12999999.0,2137.0,0.258031497985594
259,-4027.6562,323000.0,-1999999.8,2137.0,0.25903162007080943
260,-3692.6562,334999.97,11999999.0,2137.0,0.2600317421560249
261,-3325.6562,366999.97,31999996.0,2137.0,0.2610318642412404
262,-2970.6562,354999.97,-11999999.0,2137.0,0.2620319863264559
263,-2579.6562,390999.97,35999996.0,2137.0,0.26303210841167135
264,-2174.6562,404999.97,13999998.0,2137.0,0.26403223049688684
265,-1769.6562,404999.97,0.0,2137.0,0.26503235258210234
266,-1367.6562,401999.97,-2999999.8,2137.0,0.26603247466731783
267,-938.65625,428999.97,26999996.0,2137.0,0.26703259675253327
268,-516.65625,421999.97,-6999999.0,2137.0,0.26803271883774876
269,-113.65625,402999.97,-18999998.0,2137.0,0.26903284092296426
270,301.34375,414999.97,11999999.0,2137.0,0.27003296300817975
271,700.34375,398999.97,-15999998.0,2137.0,0.2710330850933952
272,1101.3438,400999.97,1999999.8,2137.0,0.2720332071786107
273,1485.3438,383999.97,-16999998.0,2137.0,0.2730333292638262
274,1891.3438,405999.97,21999998.0,2137.0,0.27403345134904167
275,2267.3438,375999.97,-29999996.0,2137.0,0.27503357343425716
276,2629.3438,361999.97,-13999998.0,2137.0,0.2760336955194726
277,2969.3438,339999.97,-21999998.0,2137.0,0.2770338176046881
278,3243.3438,274000.0,-65999990.0,2137.0,0.2780339396899036
279,3465.3438,221999.98,-51999996.0,2137.0,0.2790340617751191
280,3652.3438,186999.98,-34999996.0,2137.0,0.2800341838603345
281,3829.3438,176999.98,-9999999.0,2137.0,0.28103430594555
282,4045.3438,215999.98,38999996.0,2137.0,0.2820344280307655
283,4264.3438,218999.98,2999999.8,2137.0,0.283034550115981
284,4499.3438,234999.98,15999998.0,2137.0,0.28403467220119644
285,4690.3438,190999.98,-43999996.0,2137.0,0.28503479428641193
286,4819.3438,128999.99,-61999990.0,2137.0,0.2860349163716274
287,4869.3438,49999.996,-78999990.0,2137.0,0.2870350384568429
288,4873.3438,3999.9998,-45999996.0,2137.0,0.28803516054205835
289,4847.3438,-25999.998,-29999996.0,2137.0,0.28903528262727385
290,4808.3438,-39000.0,-12999999.0,2137.0,0.29003540471248934
291,4810.3438,1999.9999,40999996.0,2137.0,0.29103552679770484
292,4778.3438,-31999.998,-33999996.0,2137.0,0.29203564888292033
293,4799.3438,20999.998,52999996.0,2137.0,0.29303577096813577
294,4739.3438,-59999.996,-80999990.0,2137.0,0.29403589305335126
295,4676.3438,-62999.996,-2999999.8,2137.0,0.29503601513856675
296,4472.3438,-203999.98,-140999980.0,2137.0,0.29603613722378225
297,4265.3438,-206999.98,-2999999.8,2137.0,0.2970362593089977
298,4006.3438,-258999.98,-51999996.0,2137.0,0.2980363813942132
299,3750.3438,-255999.98,2999999.8,2137.0,0.2990365034794287
300,3514.3438,-235999.98,19999998.0,2137.0,0.30003662556464417
301,3297.3438,-216999.98,18999998.0,2137.0,0.3010367476498596
302,3048.3438,-248999.98,-31999996.0,2137.0,0.3020368697350751
303,2777.3438,-271000.0,-21999998.0,2137.0,0.3030369918202906
304,2445.3438,-331999.97,-60999990.0,2137.0,0.3040371139055061
305,2020.3438,-424999.97,-92999990.0,2137.0,0.3050372359907216
306,1510.3438,-509999.97,-84999990.0,2137.0,0.306037358075937
307,981.34375,-529000.0,-18999998.0,2137.0,0.3070374801611525
308,459.34375,-521999.97,6999999.0,2137.0,0.308037602246368
309,-26.65625,-485999.97,35999996.0,2137.0,0.3090377243315835
310,-456.65625,-429999.97,55999990.0,2137.0,0.31003784641679893
311,-813.65625,-356999.97,72999990.0,2137.0,0.31103796850201443
312,-1175.6562,-361999.97,-4999999.5,2137.0,0.3120380905872299
313,-1609.6562,-433999.97,-71999990.0,2137.0,0.3130382126724454
314,-2124.6562,-514999.97,-80999990.0,2137.0,0.31403833475766085
315,-2722.6562,-598000.0,-82999990.0,2137.0,0.31503845684287635
316,-3348.6562,-626000.0,-27999996.0,2137.0,0.31603857892809184
317,-3925.6562,-577000.0,48999996.0,2137.0,0.31703870101330733
318,-4387.6562,-461999.97,114999980.0,2137.0,0.31803882309852277
319,-4717.6562,-329999.97,131999980.0,2137.0,0.31903894518373827
320,-4944.6562,-226999.98,102999990.0,2137.0,0.32003906726895376
321,-5165.6562,-220999.98,5999999.5,2137.0,0.32103918935416925
322,-5415.6562,-249999.98,-28999996.0,2137.0,0.32203931143938475
323,-5777.6562,-361999.97,-111999980.0,2137.0,0.3230394335246002
324,-6165.6562,-387999.97,-25999998.0,2137.0,0.3240395556098157
325,-6530.6562,-364999.97,22999998.0,2137.0,0.32503967769503117
326,-6800.6562,-270000.0,94999990.0,2137.0,0.32603979978024666
327,-6943.6562,-143000.0,126999980.0,2137.0,0.3270399218654621
328,-6935.6562,7999.9995,150999980.0,2137.0,0.3280400439506776
329,-6825.6562,109999.99,101999990.0,2137.0,0.3290401660358931
330,-6685.6562,140000.0,29999996.0,2137.0,0.3300402881211086
331,-6582.6562,102999.99,-36999996.0,2137.0,0.331040410206324
332,-6519.6562,62999.996,-39999996.0,2137.0,0.3320405322915395
333,-6481.6562,38000.0,-24999998.0,2137.0,0.333040654376755
334,-6394.6562,86999.99,48999996.0,2137.0,0.3340407764619705
335,-6204.6562,189999.98,102999990.0,2137.0,0.33504089854718594
336,-5911.6562,293000.0,102999990.0,2137.0,0.33604102063240143
337,-5499.6562,411999.97,118999980.0,2137.0,0.3370411427176169
338,-5026.6562,472999.97,60999990.0,2137.0,0.3380412648028324
339,-4555.6562,470999.97,-1999999.8,2137.0,0.3390413868880479
340,-4145.6562,409999.97,-60999990.0,2137.0,0.34004150897326335
341,-3779.6562,365999.97,-43999996.0,2137.0,0.34104163105847884
342,-3464.6562,315000.0,-50999996.0,2137.0,0.34204175314369434
343,-3124.6562,339999.97,24999998.0,2137.0,0.34304187522890983
344,-2727.6562,396999.97,56999990.0,2137.0,0.34404199731412527
345,-2239.6562,487999.97,90999990.0,2137.0,0.34504211939934076
346,-1663.6562,576000.0,87999990.0,2137.0,0.34604224148455626
347,-1057.6562,606000.0,29999996.0,2137.0,0.34704236356977175
348,-466.65625,591000.0,-14999998.0,2137.0,0.3480424856549872
349,25.34375,491999.97,-98999990.0,2137.0,0.3490426077402027
350,405.34375,379999.97,-111999980.0,2137.0,0.3500427298254182
351,733.34375,328000.0,-51999996.0,2137.0,0.35104285191063367
352,1045.3438,312000.0,-15999998.0,2137.0,0.35204297399584916
353,1391.3438,345999.97,33999996.0,2137.0,0.3530430960810646
354,1813.3438,421999.97,75999990.0,2137.0,0.3540432181662801
355,2297.3438,483999.97,61999990.0,2137.0,0.3550433402514956
356,2769.3438,471999.97,-11999999.0,2137.0,0.3560434623367111
357,3195.3438,425999.97,-45999996.0,2137.0,0.3570435844219265
358,3503.3438,308000.0,-117999980.0,2137.0,0.358043706507142
359,3708.3438,204999.98,-102999990.0,2137.0,0.3590438285923575
360,3815.3438,106999.99,-97999990.0,2137.0,0.360043950677573
361,3931.3438,115999.99,8999999.0,2137.0,0.36104407276278844
362,4087.3438,156000.0,39999996.0,2137.0,0.36204419484800393
363,4354.3438,267000.0,110999980.0,2137.0,0.3630443169332194
364,4650.3438,296000.0,28999996.0,2137.0,0.3640444390184349
365,4899.3438,248999.98,-46999996.0,2137.0,0.36504456110365036
366,5108.3438,208999.98,-39999996.0,2137.0,0.36604468318886585
367,5166.3438,57999.996,-150999980.0,2137.0,0.36704480527408134
368,5107.3438,-58999.996,-116999980.0,2137.0,0.36804492735929684
369,5013.3438,-93999.99,-34999996.0,2137.0,0.36904504944451233
370,4961.3438,-51999.996,41999996.0,2137.0,0.37004517152972777
371,4924.3438,-37000.0,14999998.0,2137.0,0.37104529361494326
372,4943.3438,19000.0,55999990.0,2137.0,0.37204541570015875
373,4976.3438,33000.0,13999998.0,2137.0,0.37304553778537425
374,5005.3438,28999.998,-3999999.5,2137.0,0.3740456598705897
375,4960.3438,-44999.996,-73999990.0,2137.0,0.3750457819558052
376,4783.3438,-176999.98,-131999980.0,2137.0,0.3760459040410207
377,4519.3438,-264000.0,-86999990.0,2137.0,0.37704602612623617
378,4198.3438,-321000.0,-56999990.0,2137.0,0.3780461482114516
379,3903.3438,-295000.0,25999998.0,2137.0,0.3790462702966671
380,3648.3438,-254999.98,39999996.0,2137.0,0.3800463923818826
381,3436.3438,-211999.98,42999996.0,2137.0,0.3810465144670981
382,3249.3438,-186999.98,24999998.0,2137.0,0.3820466365523135
383,3027.3438,-221999.98,-34999996.0,2137.0,0.383046758637529
384,2702.3438,-325000.0,-102999990.0,2137.0,0.3840468807227445
385,2269.3438,-432999.97,-107999980.0,2137.0,0.38504700280796
386,1716.3438,-553000.0,-119999980.0,2137.0,0.3860471248931755
387,1126.3438,-590000.0,-36999996.0,2137.0,0.38704724697839094
388,550.34375,-576000.0,13999998.0,2137.0,0.38804736906360643
389,32.34375,-517999.97,57999990.0,2137.0,0.3890474911488219
390,-360.65625,-392999.97,124999980.0,2137.0,0.3900476132340374
391,-702.65625,-341999.97,50999996.0,2137.0,0.39104773531925285
392,-1036.6562,-333999.97,7999999.0,2137.0,0.39204785740446835
393,-1488.6562,-451999.97,-117999980.0,2137.0,0.39304797948968384
394,-2051.6562,-563000.0,-110999980.0,2137.0,0.39404810157489933
395,-2746.6562,-694999.94,-131999980.0,2137.0,0.3950482236601148
396,-3461.6562,-714999.94,-19999998.0,2137.0,0.39604834574533027
397,-4101.6562,-640000.0,74999990.0,2137.0,0.39704846783054576
398,-4585.6562,-483999.97,155999980.0,2137.0,0.39804858991576125
399,-4904.6562,-319000.0,164999980.0,2137.0,0.3990487120009767
400,-5116.6562,-211999.98,106999990.0,2137.0,0.4000488340861922
401,-5322.6562,-205999.98,5999999.5,2137.0,0.4010489561714077
