,t,x,v,a,u
0,0.0,0.0005471247714012861,0.0,0.0,101.63150024414062
1,0.0010001220852154805,0.0005230571259744465,-0.02639385499060154,0.0,101.63150024414062
2,0.002000244170430961,0.0004966632695868611,-0.02639385499060154,-2.3262107372283936,101.63150024414062
3,0.0030003662556464415,0.0004652590141631663,-0.03140425309538841,-5.0103983879089355,101.63150024414062
4,0.004000488340861922,0.0004335863050073385,-0.03167270869016647,-0.2684536874294281,101.63150024414062
5,0.0050006104260774025,0.00039726117393001914,-0.036325130611658096,-4.652421474456787,101.63150024414062
6,0.006000732511292883,0.00035816236049868166,-0.03909881040453911,-2.773682117462158,101.63150024414062
7,0.0070008545965083635,0.0003117270243819803,-0.04643533378839493,-7.336522102355957,101.63150024414062
8,0.008000976681723844,0.0002640390885062516,-0.04768793284893036,-1.2525995969772339,101.63150024414062
9,0.009001098766939324,0.00021035659301560372,-0.053682491183280945,-5.994544506072998,101.63150024414062
10,0.010001220852154805,0.00015425834862980992,-0.05609824135899544,-2.415734052658081,101.63150024414062
11,0.011001342937370286,9.941277676261961e-05,-0.05484556779265404,1.2526724338531494,101.63150024414062
12,0.012001465022585766,4.4746055209543556e-05,-0.05466672033071518,0.17885756492614746,101.63150024414062
13,0.013001587107801246,-8.757492651056964e-06,-0.05350354313850403,1.1631708145141602,101.63150024414062
14,0.014001709193016727,-6.521360046463087e-05,-0.05645610764622688,-2.952561378479004,101.63150024414062
15,0.015001831278232208,-0.00011862772225867957,-0.05341411754488945,3.0419857501983643,101.63150024414062
16,0.016001953363447688,-0.0001749048533383757,-0.05627712979912758,-2.863008975982666,101.63150024414062
17,0.017002075448663168,-0.00023288195370696485,-0.0579770989716053,-1.6999690532684326,101.63150024414062
18,0.018002197533878647,-0.00028835388366132975,-0.05547192692756653,2.5051701068878174,101.63150024414062
19,0.01900231961909413,-0.00034382581361569464,-0.05547192692756653,0.0,101.63150024414062
20,0.02000244170430961,-0.0003965240903198719,-0.052698273211717606,2.773653030395508,101.63150024414062
21,0.02100256378952509,-0.0004440331249497831,-0.04750903323292732,5.189241409301758,101.63150024414062
22,0.022002685874740573,-0.00048814225010573864,-0.044109124690294266,3.399909019470215,101.63150024414062
23,0.023002807959956052,-0.0005304619553498924,-0.042319703847169876,1.7894197702407837,101.63150024414062
24,0.024002930045171532,-0.0005689343670383096,-0.038472410291433334,3.8472931385040283,101.63150024414062
25,0.02500305213038701,-0.0006049911607988179,-0.03605679050087929,2.4156177043914795,101.63150024414062
26,0.02600317421560249,-0.0006414057570509613,-0.03641459345817566,-0.35780245065689087,101.63150024414062
27,0.027003296300817974,-0.0006787151214666665,-0.03730936348438263,-0.8947680592536926,101.63150024414062
28,0.028003418386033454,-0.0007074352470226586,-0.028720123693346977,8.589238166809082,101.63150024414062
29,0.029003540471248934,-0.0007298925193026662,-0.022457271814346313,6.262852668762207,101.63150024414062
30,0.030003662556464417,-0.000753960048314184,-0.024067528545856476,-1.610256552696228,101.63150024414062
31,0.031003784641679896,-0.0007711384678259492,-0.01717841811478138,6.889108657836914,101.63150024414062
32,0.032003906726895376,-0.0007839328027330339,-0.012794334441423416,4.384084224700928,101.63150024414062
33,0.033004028812110855,-0.0008003060356713831,-0.016373232007026672,-3.578897714614868,101.63150024414062
34,0.034004150897326335,-0.0008105951710604131,-0.010289134457707405,6.084096908569336,101.63150024414062
35,0.035004272982541815,-0.000821779016405344,-0.0111838448792696,-0.8947098851203918,101.63150024414062
36,0.036004395067757294,-0.0008345733513124287,-0.012794334441423416,-1.6104893684387207,101.63150024414062
37,0.03700451715297278,-0.0008362732478417456,-0.0016998964129015803,11.094437599182129,101.63150024414062
38,0.03800463923818826,-0.0008382416563108563,-0.0019684084691107273,-0.26851192116737366,101.63150024414062
39,0.03900476132340374,-0.0008376153418794274,0.0006263143732212484,2.5947225093841553,101.63150024414062
40,0.04000488340861922,-0.0008342154906131327,0.003399851033464074,2.773536443710327,101.63150024414062
41,0.0410050054938347,-0.0008294734871014953,0.004742003511637449,1.3421521186828613,101.63150024414062
42,0.04200512757905018,-0.0008239263552241027,0.005547131411731243,0.805128276348114,101.63150024414062
43,0.04300524966426566,-0.0008131003123708069,0.010826041921973228,5.278910160064697,101.63150024414062
44,0.044005371749481145,-0.0008037954103201628,0.009304901584982872,-1.5211405754089355,101.63150024414062
45,0.045005493834696625,-0.0007931483560241759,0.010647053830325603,1.3421521186828613,101.63150024414062
46,0.046005615919912105,-0.0007763278554193676,0.016820499673485756,6.173445701599121,101.63150024414062
47,0.047005738005127584,-0.0007604914717376232,0.015836382284760475,-0.984116792678833,101.63150024414062
48,0.048005860090343064,-0.0007371396059170365,0.023351864889264107,7.515481472015381,101.63150024414062
49,0.04900598217555854,-0.0007123561226762831,0.024783482775092125,1.431617259979248,101.63150024414062
50,0.05000610426077402,-0.000682920275721699,0.029435845091938972,4.652363300323486,101.63150024414062
51,0.0510062263459895,-0.0006502634496428072,0.032656826078891754,3.2209787368774414,101.63150024414062
52,0.05200634843120498,-0.0006189486011862755,0.03131484612822533,-1.3419774770736694,101.63150024414062
53,0.05300647051642047,-0.0005853075999766588,0.03364099934697151,2.3261525630950928,101.63150024414062
54,0.05400659260163595,-0.0005501455161720514,0.03516208380460739,1.5210824012756348,101.63150024414062
55,0.05500671468685143,-0.0005116731044836342,0.038472410291433334,3.3103275299072266,101.63150024414062
56,0.05600683677206691,-0.0004696217947639525,0.04205130785703659,3.578897714614868,101.63150024414062
57,0.05700695885728239,-0.0004198760143481195,0.04974577948451042,7.694469928741455,101.63150024414062
