,t,x,v,a,u,hilbert
0,0.0,-806.66796875,0.0,0.0,0.28227734565734863,1723.863733942888
1,0.0010002442002442003,-722.66796875,92999.9921875,0.0,0.28227734565734863,865.4492626175016
2,0.0020004884004884006,-629.66796875,92999.9921875,8999999.0,0.28227734565734863,783.7319721083888
3,0.0030007326007326007,-543.66796875,85999.9921875,-6999999.0,0.28227734565734863,559.6615436733418
4,0.004000976800976801,-434.66796875,108999.9921875,22999998.0,0.28227734565734863,469.70265415171576
5,0.005001221001221002,-391.66796875,42999.99609375,-65999992.0,0.28227734565734863,396.9406040647794
6,0.006001465201465201,-373.66796875,18000.0,-24999998.0,0.28227734565734863,398.28907139594264
7,0.007001709401709402,-427.66796875,-53999.99609375,-71999992.0,0.28227734565734863,432.21887109833364
8,0.008001953601953602,-475.66796875,-47999.99609375,5999999.5,0.28227734565734863,477.3273600893398
9,0.009002197802197803,-516.66796875,-41000.0,6999999.0,0.28227734565734863,524.9665210856057
10,0.010002442002442003,-534.66796875,-18000.0,22999998.0,0.28227734565734863,572.6562941620606
11,0.011002686202686204,-456.66796875,78000.0,95999992.0,0.28227734565734863,593.5536520889596
12,0.012002930402930403,-367.66796875,88999.9921875,10999999.0,0.28227734565734863,578.2999326140055
13,0.013003174603174603,-227.66796875,140000.0,50999996.0,0.28227734565734863,584.0625755066227
14,0.014003418803418804,-123.66796875,103999.9921875,-35999996.0,0.28227734565734863,523.9859342321621
15,0.015003663003663004,-10.66796875,112999.9921875,8999999.0,0.28227734565734863,525.8447094201217
16,0.016003907203907205,56.33203125,67000.0,-45999996.0,0.28227734565734863,430.05422154130014
17,0.017004151404151405,66.33203125,10000.0,-56999992.0,0.28227734565734863,401.67167112299035
18,0.018004395604395606,37.33203125,-28999.998046875,-38999996.0,0.28227734565734863,346.1669709362507
19,0.019004639804639806,7.33203125,-29999.998046875,-999999.875,0.28227734565734863,396.59526645204687
20,0.020004884004884007,0.33203125,-6999.99951171875,22999998.0,0.28227734565734863,429.41525149552444
21,0.021005128205128207,24.33203125,23999.998046875,30999996.0,0.28227734565734863,533.4556745879968
22,0.022005372405372408,100.33203125,76000.0,51999996.0,0.28227734565734863,595.9076209059696
23,0.02300561660561661,190.33203125,89999.9921875,13999998.0,0.28227734565734863,683.6664742778414
24,0.024005860805860806,323.33203125,133000.0,42999996.0,0.28227734565734863,760.8022634393125
25,0.025006105006105006,494.33203125,170999.984375,37999996.0,0.28227734565734863,831.3179749804855
26,0.026006349206349207,614.33203125,119999.9921875,-50999996.0,0.28227734565734863,827.8014133617901
27,0.027006593406593407,682.33203125,68000.0,-51999996.0,0.28227734565734863,808.2718533799765
28,0.028006837606837608,666.33203125,-15999.9990234375,-83999992.0,0.28227734565734863,736.1311839720946
29,0.029007081807081808,655.33203125,-10999.9990234375,4999999.5,0.28227734565734863,700.3086390939092
30,0.03000732600732601,571.33203125,-83999.9921875,-72999992.0,0.28227734565734863,599.1261202742825
31,0.03100757020757021,527.33203125,-43999.99609375,39999996.0,0.28227734565734863,584.3976929949107
32,0.03200781440781441,553.33203125,25999.998046875,69999992.0,0.28227734565734863,621.8930342507542
33,0.03300805860805861,595.33203125,41999.99609375,15999998.0,0.28227734565734863,685.5252598242988
34,0.03400830280830281,691.33203125,95999.9921875,53999992.0,0.28227734565734863,784.1067180544306
35,0.03500854700854701,822.33203125,130999.9921875,34999996.0,0.28227734565734863,893.2244353496212
36,0.03600879120879121,911.33203125,88999.9921875,-41999996.0,0.28227734565734863,950.9676945060367
37,0.03700903540903541,1014.33203125,102999.9921875,13999998.0,0.28227734565734863,1032.324945419464
38,0.03800927960927961,1067.33203125,52999.99609375,-49999996.0,0.28227734565734863,1067.8176113016186
39,0.03900952380952381,1045.33203125,-21999.998046875,-74999992.0,0.28227734565734863,1050.9854060587681
40,0.040009768009768014,967.33203125,-78000.0,-55999992.0,0.28227734565734863,988.140634453509
41,0.041010012210012214,920.33203125,-46999.99609375,30999996.0,0.28227734565734863,952.785626747067
42,0.042010256410256415,832.33203125,-87999.9921875,-40999996.0,0.28227734565734863,878.5617048216754
43,0.043010500610500615,790.33203125,-41999.99609375,45999996.0,0.28227734565734863,826.2512068407029
44,0.044010744810744816,766.33203125,-23999.998046875,17999998.0,0.28227734565734863,790.740321382595
45,0.045010989010989017,842.33203125,76000.0,99999992.0,0.28227734565734863,852.0332979168486
46,0.04601123321123322,922.33203125,80000.0,3999999.5,0.28227734565734863,934.5916039583025
47,0.04701147741147742,1024.33203125,101999.9921875,21999998.0,0.28227734565734863,1041.69227893913
48,0.04801172161172161,1070.33203125,45999.99609375,-55999992.0,0.28227734565734863,1108.0457708102713
49,0.04901196581196581,1149.33203125,79000.0,32999996.0,0.28227734565734863,1207.8833066115758
50,0.05001221001221001,1127.33203125,-21999.998046875,-100999992.0,0.28227734565734863,1253.8036537138812
51,0.05101245421245421,1079.33203125,-47999.99609375,-25999998.0,0.28227734565734863,1242.587466137933
52,0.05201269841269841,1006.33203125,-73000.0,-24999998.0,0.28227734565734863,1239.7917705672035
53,0.053012942612942614,925.33203125,-81000.0,-7999999.0,0.28227734565734863,1172.850565256651
54,0.054013186813186814,871.33203125,-53999.99609375,26999996.0,0.28227734565734863,1149.7464895486953
55,0.055013431013431015,824.33203125,-46999.99609375,6999999.0,0.28227734565734863,1073.9469745957033
56,0.056013675213675215,859.33203125,35000.0,81999992.0,0.28227734565734863,1085.9217961713296
57,0.057013919413919416,923.33203125,63999.99609375,28999996.0,0.28227734565734863,1122.9179776067547
