,t,x,v,a,u,x_up,x_down
0,0.0,-238.5625,0.0,0.0,-8.054023742675781,8651.921655547752,-9701.87890625
1,0.0010001220852154805,280.4375,522999.96875,0.0,-8.054023742675781,8632.651992626405,-9689.462239583334
2,0.002000244170430961,803.4375,522999.96875,3999999.5,-8.054023742675781,8613.382329705057,-9677.045572916666
3,0.0030003662556464415,1329.4375,526000.0,2999999.75,-8.054023742675781,8594.112666783707,-9664.62890625
4,0.004000488340861922,1840.4375,510999.96875,-14999998.0,-8.054023742675781,8574.84300386236,-9652.212239583334
5,0.0050006104260774025,2362.4375,521999.96875,10999999.0,-8.054023742675781,8555.573340941011,-9639.795572916666
6,0.006000732511292883,2854.4375,491999.96875,-29999996.0,-8.054023742675781,8536.303678019663,-9627.37890625
7,0.0070008545965083635,3347.4375,492999.96875,999999.875,-8.054023742675781,8517.034015098314,-9614.962239583334
8,0.008000976681723844,3825.4375,477999.96875,-14999998.0,-8.054023742675781,8497.764352176966,-9602.545572916668
9,0.009001098766939324,4229.4375,403999.96875,-73999992.0,-8.054023742675781,8478.494689255618,-9590.12890625
10,0.010001220852154805,4575.4375,345999.96875,-57999992.0,-8.054023742675781,8459.22502633427,-9577.712239583334
11,0.011001342937370286,4896.4375,321000.0,-24999998.0,-8.054023742675781,8439.95536341292,-9565.295572916666
12,0.012001465022585766,5191.4375,295000.0,-25999998.0,-8.054023742675781,8420.685700491573,-9552.87890625
13,0.013001587107801246,5474.4375,283000.0,-11999999.0,-8.054023742675781,8401.416037570225,-9540.462239583334
14,0.014001709193016727,5775.4375,301000.0,17999998.0,-8.054023742675781,8382.146374648877,-9528.045572916666
15,0.015001831278232208,6084.4375,309000.0,7999999.0,-8.054023742675781,8362.876711727527,-9515.62890625
16,0.016001953363447688,6340.4375,255999.984375,-52999996.0,-8.054023742675781,8343.60704880618,-9503.212239583334
17,0.017002075448663168,6629.4375,289000.0,32999996.0,-8.054023742675781,8324.337385884832,-9490.795572916666
18,0.018002197533878647,6856.4375,226999.984375,-61999992.0,-8.054023742675781,8305.067722963484,-9478.37890625
19,0.01900231961909413,7018.4375,162000.0,-64999992.0,-8.054023742675781,8285.798060042134,-9465.962239583334
20,0.02000244170430961,7206.4375,187999.984375,25999998.0,-8.054023742675781,8266.528397120786,-9453.545572916666
21,0.02100256378952509,7313.4375,106999.9921875,-80999992.0,-8.054023742675781,8247.258734199439,-9441.12890625
22,0.022002685874740573,7456.4375,143000.0,35999996.0,-8.054023742675781,8227.98907127809,-9428.712239583334
23,0.023002807959956052,7610.4375,154000.0,10999999.0,-8.054023742675781,8208.719408356741,-9416.295572916666
24,0.024002930045171532,7773.4375,163000.0,8999999.0,-8.054023742675781,8189.449745435393,-9403.87890625
25,0.02500305213038701,7873.4375,99999.9921875,-62999992.0,-8.054023742675781,8170.180082514045,-9391.462239583334
26,0.02600317421560249,7982.4375,108999.9921875,8999999.0,-8.054023742675781,8150.910419592697,-9379.045572916666
27,0.027003296300817974,8060.4375,78000.0,-30999996.0,-8.054023742675781,8131.640756671348,-9366.62890625
28,0.028003418386033454,8084.4375,23999.998046875,-53999992.0,-8.054023742675781,8112.37109375,-9354.212239583334
29,0.029003540471248934,8100.4375,15999.9990234375,-7999999.0,-8.054023742675781,8093.101430828652,-9341.795572916666
30,0.030003662556464417,8053.4375,-46999.99609375,-62999992.0,-8.054023742675781,8073.831767907303,-9329.37890625
31,0.031003784641679896,8039.4375,-13999.9990234375,32999996.0,-8.054023742675781,8054.562104985955,-9316.962239583334
32,0.032003906726895376,7988.4375,-50999.99609375,-36999996.0,-8.054023742675781,8035.292442064607,-9304.545572916666
33,0.033004028812110855,7906.4375,-82000.0,-30999996.0,-8.054023742675781,8016.022779143258,-9292.12890625
34,0.034004150897326335,7845.4375,-60999.99609375,20999998.0,-8.054023742675781,7996.75311622191,-9279.712239583334
35,0.035004272982541815,7769.4375,-76000.0,-14999998.0,-8.054023742675781,7977.483453300561,-9267.295572916666
36,0.036004395067757294,7622.4375,-147000.0,-70999992.0,-8.054023742675781,7958.213790379214,-9254.87890625
37,0.03700451715297278,7486.4375,-136000.0,10999999.0,-8.054023742675781,7938.944127457865,-9242.462239583334
38,0.03800463923818826,7229.4375,-256999.984375,-120999984.0,-8.054023742675781,7919.674464536517,-9230.045572916666
39,0.03900476132340374,7009.4375,-219999.984375,36999996.0,-8.054023742675781,7900.404801615168,-9217.62890625
40,0.04000488340861922,6764.4375,-244999.984375,-24999998.0,-8.054023742675781,7881.13513869382,-9205.212239583334
41,0.0410050054938347,6462.4375,-302000.0,-56999992.0,-8.054023742675781,7861.865475772472,-9192.795572916666
42,0.04200512757905018,6197.4375,-265000.0,36999996.0,-8.054023742675781,7842.595812851124,-9180.37890625
43,0.04300524966426566,5891.4375,-306000.0,-40999996.0,-8.054023742675781,7823.326149929775,-9167.962239583334
44,0.044005371749481145,5568.4375,-323000.0,-16999998.0,-8.054023742675781,7804.056487008427,-9155.545572916666
45,0.045005493834696625,5196.4375,-371999.96875,-48999996.0,-8.054023742675781,7784.7868240870785,-9143.12890625
46,0.046005615919912105,4802.4375,-393999.96875,-21999998.0,-8.054023742675781,7765.517161165731,-9130.712239583334
47,0.047005738005127584,4335.4375,-466999.96875,-72999992.0,-8.054023742675781,7746.247498244382,-9118.295572916666
48,0.048005860090343064,3879.4375,-455999.96875,10999999.0,-8.054023742675781,7726.977835323034,-9105.87890625
49,0.04900598217555854,3369.4375,-509999.96875,-53999992.0,-8.054023742675781,7707.708172401685,-9093.462239583334
